Direction,RelativeByte,Bit,LogicalSignal,Meaning,Status,AbsolutePLCAddress
PILZ_TO_PLC,0,0,PILZ_COMM_OK,PROFINET application communication healthy,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,1,PILZ_SAFETY_OK,Validated safety permissive from PILZ,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,2,PILZ_RESET_REQUIRED,Deliberate safety reset required,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,3,PILZ_ESTOP_OK,Aggregate E-stop chain healthy,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,4,PILZ_STANDSTILL_OK,Safe standstill confirmed,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,5,PILZ_AIR_DUMP_OK,Safe pneumatic dump confirmed,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,6,PILZ_EDM_MOTOR_OK,Motor safety contactor EDM valid,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,0,7,PILZ_EDM_ACTUATOR_OK,Actuator power contactor EDM valid,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,0,PILZ_ZONE1_CLOSED_LOCKED,DR01-DR04 closed and locked,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,1,PILZ_ZONE2_CLOSED_LOCKED,DR05-DR08 closed and locked,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,2,PILZ_ZONE3_CLOSED_LOCKED,DR09-DR12 closed and locked,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,3,PILZ_ZONE1_UNLOCKED,Zone 1 release state,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,4,PILZ_ZONE2_UNLOCKED,Zone 2 release state,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,5,PILZ_ZONE3_UNLOCKED,Zone 3 release state,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,6,PILZ_GENERAL_FAULT,Aggregate PILZ safety fault,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,1,7,SPARE,Reserved,PROPOSED,MISSING
PILZ_TO_PLC,2,0-7,DR01_OPEN_TO_DR08_OPEN,Individual door-open states DR01 through DR08,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,3,0-3,DR09_OPEN_TO_DR12_OPEN,Individual door-open states DR09 through DR12,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,3,4-7,SPARE,Reserved,PROPOSED,MISSING
PILZ_TO_PLC,4,0-7,DR01_DISCREPANCY_TO_DR08_DISCREPANCY,Individual lock-channel discrepancy DR01 through DR08,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,5,0-3,DR09_DISCREPANCY_TO_DR12_DISCREPANCY,Individual lock-channel discrepancy DR09 through DR12,PROPOSED NOT COMMISSIONED,MISSING
PILZ_TO_PLC,5,4-7,SPARE,Reserved,PROPOSED,MISSING
PLC_TO_PILZ,0,0,REQ_ACCESS_ALL,Non-safety access request only - final behaviour not frozen,BLOCKED PENDING SAFETY REVIEW,MISSING
PLC_TO_PILZ,0,1,REQ_ACCESS_Z1,Non-safety request to access Zone 1,PROPOSED NOT COMMISSIONED,MISSING
PLC_TO_PILZ,0,2,REQ_ACCESS_Z2,Non-safety request to access Zone 2,PROPOSED NOT COMMISSIONED,MISSING
PLC_TO_PILZ,0,3,REQ_ACCESS_Z3,Non-safety request to access Zone 3,PROPOSED NOT COMMISSIONED,MISSING
PLC_TO_PILZ,0,4,REQ_SAFETY_RESET,Non-safety reset request only,BLOCKED PENDING SAFETY REVIEW,MISSING
PLC_TO_PILZ,0,5-7,SPARE,Reserved,PROPOSED,MISSING
