Type,Location,Input_Tag,Output_Tag,HMI_Display,Equipment_Identifier,Status
EmergencyStop,Front or below HMI panel,Series chain only,,Front panel emergency stop,To be assigned,Treated as the counted front E-stop; individual HMI identification not required
EmergencyStop,Rear,Series chain only,,Rear emergency stop,To be assigned,Location confirmed; individual HMI identification not required
EmergencyStop,Infeed door,Series chain only,,Infeed-door emergency stop,To be assigned,Location confirmed; individual HMI identification not required
EmergencyStop,Jog pendant,Series chain only,,Jog-pendant emergency stop,To be assigned,Location confirmed; individual HMI identification not required
EmergencyStopChain,All four devices,Safety_EStopChain24VHealthy,,Emergency stop pressed,To be assigned,Aggregate 24 VDC return to Pilz; channel mapping required
DoorRequest,Below HMI panel,DoorAccess_RequestPanelPB,DoorAccess_RequestPanelBlueLamp,Open or Close Doors,To be assigned,Illuminated pushbutton; controlled request only
DoorRequest,Front,DoorAccess_RequestFrontPB,DoorAccess_RequestFrontBlueLamp,Front Request Open Door,To be assigned,I/O mapping required
DoorRequest,Rear,DoorAccess_RequestRearPB,DoorAccess_RequestRearBlueLamp,Rear Request Open Door,To be assigned,I/O mapping required
PanelControl,Below HMI panel,Panel_AuxiliaryResetPB,,Auxiliary voltage,To be assigned,Auxiliary reset or enable; electrical function requires confirmation
ModeSelector,Below HMI panel,Panel_ModeSelectorAuto,,MAN or AUT,To be assigned,Contact polarity and command authority require confirmation
PanelControl,Below HMI panel,Panel_AlarmResetPB,,Reset,To be assigned,Alarm reset I/O mapping required
PanelControl,Below HMI panel,Panel_StartMachinePB,,Start,To be assigned,Separate deliberate restart command
PanelControl,Below HMI panel,Panel_StopMachinePB,,Stop,To be assigned,Input and lamp mapping required
