Master,Port,DeviceID,Function,DeviceType,PLCLogicalTag,HMITag,Mode,Status,PhysicalAddress
AL100,P1,DI-031,Bottle Shortage 1 - line slowdown,Field sensor final model at build,b_BottleShortage_1,DI_Bottle_Shortage_1,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL100,P2,DI-032,Bottle Shortage 2 - gate/standby,Field sensor final model at build,b_BottleShortage_2,DI_Bottle_Shortage_2,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL100,P3,DI-033,Outfeed Accumulation 1 - slowdown,Field sensor final model at build,b_Accumulation_1,DI_Accumulation_1,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL100,P4,DI-034,Outfeed Accumulation 2 - gate/standby,Field sensor final model at build,b_Accumulation_2,DI_Accumulation_2,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL100,P5,SPARE-A100-05,Future bottle sensor,-,-,-,Spare,SPARE,NOT APPLICABLE
AL100,P6,SPARE-A100-06,Future bottle sensor,-,-,-,Spare,SPARE,NOT APPLICABLE
AL100,P7,SPARE-A100-07,Future expansion,-,-,-,Spare,SPARE,NOT APPLICABLE
AL100,P8,SPARE-A100-08,Future expansion,-,-,-,Spare,SPARE,NOT APPLICABLE
AL101,P1,DI-040,Cap Present - Pick and Place,Field sensor final model at build,b_CapPresent_PP,DI_Cap_Present,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL101,P2,DI-060,Cap Hopper Low Level,Field sensor final model at build,b_CapHopper_Low,DI_Cap_Hopper_Low,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL101,P3,DI-061,Cap Channel Request,Field sensor final model at build,b_CapChannel_Req,DI_Cap_Channel_Demand,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
AL101,P4,DI-062,Cap Channel Empty,Field sensor final model at build,b_CapChannel_Empty,DI_Caps_Missing,DI/SIO or IO-Link,FROZEN PORT,NOT CONFIGURED
